RGP - count-left-right.py
3328
 3341co2     Oc  236   1.918   1.921  31.024    2
 3341co2     Oc  237   2.019   1.914  30.815    2
 3342co2     Co  238   2.008   3.204  33.140    0
 3342co2     Oc  239   1.995   3.151  33.041    0
 3342co2     Oc  240   2.032   3.250  33.243    0
 3343co2     Co  241   1.764   2.438  41.275    0
 3343co2     Oc  242   1.825   2.543  41.274    0
 3343co2     Oc  243   1.702   2.336  41.272    0
 3344co2     Co  244   1.407   2.159  24.454    0
 3344co2     Oc  245   1.433   2.146  24.564    0
 3344co2     Oc  246   1.393   2.146  24.344    0
 3345co2     Co  247   1.962   2.419  43.342    0
 3345co2     Oc  248   1.977   2.367  43.447    0
 3345co2     Oc  249   1.958   2.474  43.236    0
 3346co2     Co  250   2.431   1.375   5.095    0
 3346co2     Oc  251   2.486   1.383   5.199    0
 3346co2     Oc  252   2.371   1.368   4.995    0
 3347co2     Co  253   2.396   1.903  18.617    1
 3347co2     Oc  254   2.280   1.917  18.629    1
 3347co2     Oc  255   2.509   1.897  18.596    1
 3348co2     Co  256   2.989   4.137  31.012    2
 3348co2     Oc  257   3.085   4.170  31.068    2
 3348co2     Oc  258   2.882   4.094  30.971    2
 3349co2     Co  259   0.513   2.803  19.025    1
 3349co2     Oc  260   0.525   2.724  18.939    1
 3349co2     Oc  261   0.496   2.880  19.106    1
 3350co2     Co  262   3.650   2.132   9.975    0
 3350co2     Oc  263   3.614   2.052  10.049    0
 3350co2     Oc  264   0.005   2.220   9.908    0
 3351co2     Co  265   0.456   1.057   4.589    0
 3351co2     Oc  266   0.564   1.071   4.546    0
 3351co2     Oc  267   0.344   1.053   4.620    0
 3352co2     Co  268   0.127   4.106  17.410    1
 3352co2     Oc  269   0.007   4.109  17.394    1
 3352co2     Oc  270   0.235   4.095  17.455    1
 3353co2     Co  271   1.294   0.446  25.468    1
 3353co2     Oc  272   1.218   0.444  25.556    1
 3353co2     Oc  273   1.363   0.432  25.381    1
 3354co2     Co  274   0.884   1.103  16.037    0
 3354co2     Oc  275   0.884   1.165  16.132    0
 3354co2     Oc  276   0.873   1.042  15.941    0
 3355co2     Co  277   1.382   4.143  31.212    2
 3355co2     Oc  278   1.487   4.145  31.166    2
 3355co2     Oc  279   1.283   4.143  31.280    2
 3356co2     Co  280   0.488   0.830  17.574    1
 3356co2     Oc  281   0.507   0.908  17.498    1
 3356co2     Oc  282   0.490   0.740  17.652    1
 3357co2     Co  283   0.016   1.901  35.537    0
