RGP - count-left-right.py
12428
 3396co2     Oc  402   3.024   2.592   2.410    0
 3397co2     Co  403   0.472   4.284   1.538    0
 3397co2     Oc  404   0.554   4.202   1.563    0
 3397co2     Oc  405   0.391   4.371   1.528    0
 3398co2     Co  406   1.823   3.031   0.310    0
 3398co2     Oc  407   1.713   3.023   0.279    0
 3398co2     Oc  408   1.916   3.056   0.366    0
 3399co2     Co  409   3.063   1.216  21.791    0
 3399co2     Oc  410   3.095   1.227  21.903    0
 3399co2     Oc  411   3.032   1.208  21.682    0
 3400co2     Co  412   3.482   1.842  31.176    2
 3400co2     Oc  413   3.591   1.850  31.209    2
 3400co2     Oc  414   3.373   1.860  31.134    2
 3401co2     Co  415   0.846   1.974  29.599    2
 3401co2     Oc  416   0.821   1.897  29.513    2
 3401co2     Oc  417   0.884   2.046  29.684    2
 3402co2     Co  418   0.550   1.590   9.378    0
 3402co2     Oc  419   0.482   1.523   9.307    0
 3402co2     Oc  420   0.608   1.637   9.464    0
 3403co2     Co  421   1.455   2.632   3.880    0
 3403co2     Oc  422   1.492   2.545   3.815    0
 3403co2     Oc  423   1.430   2.724   3.945    0
 3404co2     Co  424   1.665   1.337  33.701    0
 3404co2     Oc  425   1.627   1.235  33.676    0
 3404co2     Oc  426   1.719   1.431  33.744    0
 3405co2     Co  427   2.607   1.810  17.352    1
 3405co2     Oc  428   2.519   1.807  17.286    1
 3405co2     Oc  429   2.692   1.791  17.439    1
 3406co2     Co  430   3.160   1.947  18.088    1
 3406co2     Oc  431   3.052   1.949  18.046    1
 3406co2     Oc  432   3.263   1.946  18.129    1
 3407co2     Co  433   1.603   1.854  17.050    1
 3407co2     Oc  434   1.701   1.811  17.093    1
 3407co2     Oc  435   1.514   1.894  16.987    1
 3408co2     Co  436   3.441   4.465  15.996    0
 3408co2     Oc  437   3.524   4.402  16.047    0
 3408co2     Oc  438   3.367   0.020  15.930    0
 3409co2     Co  439   1.867   3.821  21.372    0
 3409co2     Oc  440   1.906   3.930  21.366    0
 3409co2     Oc  441   1.840   3.706  21.378    0
 3410co2     Co  442   0.934   4.191   5.332    0
 3410co2     Oc  443   0.970   4.093   5.287    0
 3410co2     Oc  444   0.910   4.290   5.384    0
 3411co2     Co  445   2.616   2.636  47.147    0
 3411co2     Oc  446   2.687   2.550  47.163    0
 3411co2     Oc  447   2.543   2.722  47.130    0
 3412co2     Co  448   3.013   2.126  44.811    0
 3412co2     Oc  449   2.900   2.152  44.797    0
 3412co2     Oc  450   3.127   2.097  44.823    0
 3413co2     Co  451   0.858   0.765  17.111    1
 3413co2     Oc  452   0.911   0.870  17.116    1
 3413co2     Oc  453   0.810   0.659  17.118    1
 3414co2     Co  454   3.668   1.588   8.439    0
 3414co2     Oc  455   3.611   1.493   8.461    0
 3414co2     Oc  456   0.042   1.691   8.425    0
 3415co2     Co  457   1.394   2.929   0.745    0
 3415co2     Oc  458   1.481   2.996   0.759    0
 3415co2     Oc  459   1.320   2.848   0.712    0
 3416co2     Co  460   0.058   3.217   6.242    0
 3416co2     Oc  461   0.128   3.300   6.291    0
 3416co2     Oc  462   3.666   3.133   6.206    0
 3417co2     Co  463   3.203   3.914  46.991    0
 3417co2     Oc  464   3.160   4.014  46.955    0
 3417co2     Oc  465   3.252   3.821  47.033    0
 3418co2     Co  466   3.142   3.491  34.505    0
 3418co2     Oc  467   3.067   3.519  34.411    0
 3418co2     Oc  468   3.202   3.445  34.592    0
 3419co2     Co  469   3.099   4.087  31.392    0
 3419co2     Oc  470   3.208   4.064  31.434    0
 3419co2     Oc  471   3.006   4.108  31.328    2
 3420co2     Co  472   2.375   1.578  35.360    0
 3420co2     Oc  473   2.417   1.685  35.378    0
 3420co2     Oc  474   2.333   1.472  35.341    0
 3421co2     Co  475   3.667   1.916  18.183    1
 3421co2     Oc  476   0.029   1.905  18.077    1
 3421co2     Oc  477   3.625   1.910  18.294    1
 3422co2     Co  478   3.013   1.915  17.237    1
 3422co2     Oc  479   3.127   1.935  17.249    1
 3422co2     Oc  480   2.902   1.883  17.210    1
 3423co2     Co  481   3.026   1.858  31.857    0
 3423co2     Oc  482   3.129   1.862  31.904    0
 3423co2     Oc  483   2.919   1.843  31.808    0
 3424co2     Co  484   3.003   2.798  32.034    0
 3424co2     Oc  485   2.943   2.696  32.024    0
 3424co2     Oc  486   3.067   2.896  32.051    0
 3425co2     Co  487   1.017   3.337   6.009    0
 3425co2     Oc  488   0.905   3.356   5.978    0
 3425co2     Oc  489   1.126   3.312   6.047    0
 3426co2     Co  490   0.890   2.908  19.928    0
 3426co2     Oc  491   0.780   2.890  19.914    0
 3426co2     Oc  492   1.000   2.917  19.946    0
 3427co2     Co  493   3.176   1.213   3.087    0
 3427co2     Oc  494   3.161   1.113   3.135    0
 3427co2     Oc  495   3.201   1.307   3.025    0
 3428co2     Co  496   2.185   1.289  16.481    0
 3428co2     Oc  497   2.198   1.396  16.508    0
