 3336co2;     Oc;  221;   2.228;   3.182;  22.652
 3336co2;     Oc;  222;   2.153;   3.186;  22.865
 3337co2;     Co;  223;   3.615;   4.086;  31.806
 3337co2;     Oc;  224;   3.563;   4.080;  31.910
 3337co2;     Oc;  225;   3.669;   4.094;  31.707
 3338co2;     Co;  226;   1.813;   1.895;  17.426
 3338co2;     Oc;  227;   1.756;   1.916;  17.321
 3338co2;     Oc;  228;   1.874;   1.884;  17.522
 3339co2;     Co;  229;   2.234;   2.208;   9.201
 3339co2;     Oc;  230;   2.217;   2.256;   9.095
 3339co2;     Oc;  231;   2.241;   2.179;   9.308
 3340co2;     Co;  232;   1.829;   2.518;  45.192
 3340co2;     Oc;  233;   1.921;   2.537;  45.128
 3340co2;     Oc;  234;   1.735;   2.494;  45.257
 3341co2;     Co;  235;   2.311;   2.186;   1.808
 3341co2;     Oc;  236;   2.414;   2.221;   1.838
 3341co2;     Oc;  237;   2.204;   2.148;   1.779
 3342co2;     Co;  238;   1.628;   0.173;  46.931
 3342co2;     Oc;  239;   1.616;   0.197;  47.044
 3342co2;     Oc;  240;   1.633;   0.132;  46.825
 3343co2;     Co;  241;   1.829;   4.170;  17.948
 3343co2;     Oc;  242;   1.939;   4.169;  17.989
 3343co2;     Oc;  243;   1.720;   4.170;  17.910
 3344co2;     Co;  244;   0.559;   4.491;  15.427
 3344co2;     Oc;  245;   0.485;   0.079;  15.404
 3344co2;     Oc;  246;   0.639;   4.409;  15.456
 3345co2;     Co;  247;   0.851;   2.928;  46.956
 3345co2;     Oc;  248;   0.891;   2.863;  46.865
 3345co2;     Oc;  249;   0.794;   2.978;  47.046
 3346co2;     Co;  250;   0.337;   3.354;   2.701
 3346co2;     Oc;  251;   0.366;   3.251;   2.659
 3346co2;     Oc;  252;   0.312;   3.460;   2.733
 3347co2;     Co;  253;   2.067;   2.226;   5.272
 3347co2;     Oc;  254;   2.131;   2.140;   5.315
 3347co2;     Oc;  255;   2.007;   2.317;   5.230
 3348co2;     Co;  256;   0.695;   4.176;  17.008
 3348co2;     Oc;  257;   0.795;   4.164;  17.067
 3348co2;     Oc;  258;   0.589;   4.178;  16.959
 3349co2;     Co;  259;   3.452;   0.840;  33.000
 3349co2;     Oc;  260;   3.443;   0.908;  33.096
 3349co2;     Oc;  261;   3.462;   0.784;  32.904
 3350co2;     Co;  262;   2.661;   2.079;   6.048
 3350co2;     Oc;  263;   2.729;   1.993;   6.010
 3350co2;     Oc;  264;   2.601;   2.174;   6.077
 3351co2;     Co;  265;   3.524;   2.322;  42.829
 3351co2;     Oc;  266;   3.624;   2.261;  42.843
 3351co2;     Oc;  267;   3.424;   2.380;  42.813
 3352co2;     Co;  268;   0.760;   4.084;  30.036
 3352co2;     Oc;  269;   0.665;   4.097;  30.098
 3352co2;     Oc;  270;   0.840;   4.067;  29.958
 3353co2;     Co;  271;   3.210;   1.937;  31.437
 3353co2;     Oc;  272;   3.301;   1.921;  31.507
 3353co2;     Oc;  273;   3.119;   1.947;  31.366
 3354co2;     Co;  274;   0.295;   4.001;   9.995
 3354co2;     Oc;  275;   0.252;   4.003;   9.887
 3354co2;     Oc;  276;   0.332;   4.003;  10.109
 3355co2;     Co;  277;   2.314;   1.740;  24.161
 3355co2;     Oc;  278;   2.257;   1.783;  24.256
 3355co2;     Oc;  279;   2.364;   1.703;  24.060
 3356co2;     Co;  280;   3.502;   3.988;  32.298
 3356co2;     Oc;  281;   3.400;   3.997;  32.238
 3356co2;     Oc;  282;   3.599;   3.962;  32.353
 3357co2;     Co;  283;   3.577;   0.567;  40.338
 3357co2;     Oc;  284;   3.473;   0.552;  40.283
 3357co2;     Oc;  285;   3.678;   0.587;  40.393
 3358co2;     Co;  286;   2.493;   3.709;  26.094
 3358co2;     Oc;  287;   2.433;   3.778;  26.175
 3358co2;     Oc;  288;   2.536;   3.644;  26.007
 3359co2;     Co;  289;   0.364;   2.042;  20.936
 3359co2;     Oc;  290;   0.305;   1.945;  20.946
 3359co2;     Oc;  291;   0.422;   2.145;  20.935
 3360co2;     Co;  292;   2.464;   4.138;  30.702
 3360co2;     Oc;  293;   2.416;   4.195;  30.794
 3360co2;     Oc;  294;   2.514;   4.076;  30.614
 3361co2;     Co;  295;   1.357;   3.398;  32.259
 3361co2;     Oc;  296;   1.248;   3.361;  32.275
 3361co2;     Oc;  297;   1.462;   3.428;  32.233
 3362co2;     Co;  298;   3.124;   0.833;  16.886
 3362co2;     Oc;  299;   3.033;   0.774;  16.839
 3362co2;     Oc;  300;   3.220;   0.882;  16.933
 3363co2;     Co;  301;   1.914;   1.820;  18.353
 3363co2;     Oc;  302;   1.914;   1.811;  18.468
 3363co2;     Oc;  303;   1.890;   1.831;  18.238
 3364co2;     Co;  304;   1.165;   3.503;  11.106
 3364co2;     Oc;  305;   1.081;   3.544;  11.168
 3364co2;     Oc;  306;   1.244;   3.455;  11.037
 3365co2;     Co;  307;   0.075;   2.282;  24.916
 3365co2;     Oc;  308;   3.653;   2.326;  24.894
 3365co2;     Oc;  309;   0.183;   2.242;  24.925
 3366co2;     Co;  310;   3.072;   4.470;  41.451
 3366co2;     Oc;  311;   3.009;   4.374;  41.460
 3366co2;     Oc;  312;   3.094;   0.082;  41.451
 3367co2;     Co;  313;   0.125;   3.362;  43.296
 3367co2;     Oc;  314;   0.046;   3.329;  43.374
 3367co2;     Oc;  315;   0.197;   3.379;  43.203
 3368co2;     Co;  316;   1.550;   1.903;   5.739
 3368co2;     Oc;  317;   1.583;   1.972;   5.822
 3368co2;     Oc;  318;   1.517;   1.834;   5.648
 3369co2;     Co;  319;   0.110;   3.928;  27.134
 3369co2;     Oc;  320;   0.211;   3.980;  27.158
 3369co2;     Oc;  321;   0.012;   3.887;  27.086
 3370co2;     Co;  322;   2.126;   0.167;  28.349
 3370co2;     Oc;  323;   2.145;   0.081;  28.427
 3370co2;     Oc;  324;   2.117;   0.260;  28.278
 3371co2;     Co;  325;   2.029;   4.165;  30.154
 3371co2;     Oc;  326;   1.973;   4.186;  30.256
 3371co2;     Oc;  327;   2.071;   4.139;  30.050
 3372co2;     Co;  328;   2.579;   4.086;  18.551
 3372co2;     Oc;  329;   2.654;   4.123;  18.468
 3372co2;     Oc;  330;   2.506;   4.048;  18.638
 3373co2;     Co;  331;   1.662;   4.096;  18.310
 3373co2;     Oc;  332;   1.667;   4.120;  18.195
 3373co2;     Oc;  333;   1.658;   4.092;  18.425
 3374co2;     Co;  334;   1.472;   3.635;  47.241
 3374co2;     Oc;  335;   1.490;   3.739;  47.185
 3374co2;     Oc;  336;   1.457;   3.531;  47.297
 3375co2;     Co;  337;   2.330;   4.388;  20.474
 3375co2;     Oc;  338;   2.270;   4.360;  20.567
 3375co2;     Oc;  339;   2.393;   4.430;  20.383
 3376co2;     Co;  340;   1.423;   0.875;  32.220
 3376co2;     Oc;  341;   1.322;   0.930;  32.241
 3376co2;     Oc;  342;   1.527;   0.817;  32.213
 3377co2;     Co;  343;   0.625;   4.105;  17.400
 3377co2;     Oc;  344;   0.589;   4.134;  17.294
 3377co2;     Oc;  345;   0.649;   4.082;  17.511
 3378co2;     Co;  346;   2.257;   1.814;  17.384
 3378co2;     Oc;  347;   2.145;   1.830;  17.348
 3378co2;     Oc;  348;   2.367;   1.805;  17.405
 3379co2;     Co;  349;   2.936;   1.379;  12.660
 3379co2;     Oc;  350;   2.995;   1.342;  12.755
 3379co2;     Oc;  351;   2.881;   1.422;  12.570
 3380co2;     Co;  352;   0.095;   0.220;  44.860
 3380co2;     Oc;  353;   0.180;   0.183;  44.790
 3380co2;     Oc;  354;   0.023;   0.263;  44.939
 3381co2;     Co;  355;   3.015;   3.372;  32.397
 3381co2;     Oc;  356;   2.933;   3.310;  32.351
 3381co2;     Oc;  357;   3.100;   3.439;  32.441
 3382co2;     Co;  358;   1.900;   2.961;  16.848
 3382co2;     Oc;  359;   1.970;   3.020;  16.779
 3382co2;     Oc;  360;   1.834;   2.892;  16.913
 3383co2;     Co;  361;   1.220;   2.590;  18.006
 3383co2;     Oc;  362;   1.200;   2.564;  18.116
 3383co2;     Oc;  363;   1.222;   2.608;  17.894
 3384co2;     Co;  364;   3.109;   1.649;   8.925
 3384co2;     Oc;  365;   3.222;   1.650;   8.904
 3384co2;     Oc;  366;   2.997;   1.654;   8.959
 3385co2;     Co;  367;   3.501;   3.432;  21.294
 3385co2;     Oc;  368;   3.563;   3.531;  21.291
 3385co2;     Oc;  369;   3.431;   3.336;  21.304
 3386co2;     Co;  370;   2.131;   1.935;  19.057
 3386co2;     Oc;  371;   2.243;   1.918;  19.017
 3386co2;     Oc;  372;   2.028;   1.937;  19.108
 3387co2;     Co;  373;   0.511;   0.250;  43.302
 3387co2;     Oc;  374;   0.481;   0.292;  43.200
 3387co2;     Oc;  375;   0.527;   0.198;  43.404
 3388co2;     Co;  376;   3.028;   3.331;  28.103
 3388co2;     Oc;  377;   3.000;   3.441;  28.075
 3388co2;     Oc;  378;   3.072;   3.222;  28.122
 3389co2;     Co;  379;   1.884;   2.413;  10.458
 3389co2;     Oc;  380;   1.921;   2.378;  10.358
 3389co2;     Oc;  381;   1.856;   2.453;  10.562
 3390co2;     Co;  382;   3.441;   0.370;  20.331
 3390co2;     Oc;  383;   3.395;   0.398;  20.227
 3390co2;     Oc;  384;   3.489;   0.327;  20.428
 3391co2;     Co;  385;   0.436;   3.892;  43.298
 3391co2;     Oc;  386;   0.491;   3.815;  43.232
 3391co2;     Oc;  387;   0.400;   3.974;  43.376
 3392co2;     Co;  388;   1.279;   1.895;  18.534
 3392co2;     Oc;  389;   1.360;   1.862;  18.613
 3392co2;     Oc;  390;   1.196;   1.913;  18.455
 3393co2;     Co;  391;   3.678;   2.856;  40.059
 3393co2;     Oc;  392;   3.606;   2.932;  40.008
 3393co2;     Oc;  393;   0.061;   2.783;  40.115
 3394co2;     Co;  394;   2.975;   4.333;  25.819
 3394co2;     Oc;  395;   2.938;   4.428;  25.876
 3394co2;     Oc;  396;   2.997;   4.232;  25.772
 3395co2;     Co;  397;   0.300;   1.840;  18.722
 3395co2;     Oc;  398;   0.212;   1.812;  18.658
 3395co2;     Oc;  399;   0.391;   1.862;  18.792
 3396co2;     Co;  400;   2.203;   2.160;  32.562
 3396co2;     Oc;  401;   2.135;   2.215;  32.484
 3396co2;     Oc;  402;   2.265;   2.098;  32.642
 3397co2;     Co;  403;   1.260;   3.069;  39.578
 3397co2;     Oc;  404;   1.185;   2.987;  39.567
 3397co2;     Oc;  405;   1.347;   3.153;  39.598
 3398co2;     Co;  406;   2.945;   0.448;  33.277
